Track URI;Track Name;Artist URI(s);Artist Name(s)
spotify:track:4LTGZ03qAt7ZQ1Pqk97vgZ;"Vivaldi: The Four Seasons, Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": II. Largo";spotify:artist:2QOIawHpSlOwXDvSqQ9YJR, spotify:artist:0hIG9FXgjQxT8fKaYceFbA, spotify:artist:4RkU7dxppCNi2078hPMUI4;Antonio Vivaldi, Itzhak Perlman, Israel Philharmonic Orchestra
spotify:track:11mMxszI9b0Q7THI49jbkE;"Comptine d'un autre été : L'Après-midi (Arr. for Guitar by Sérgio Assad) - From ""Amélie""";spotify:artist:0FK16dJDaoLTqNO9YhawG8;Plínio Fernandes
spotify:track:6rvUYfCTvW3xfT6PYttL7C;Narrow;spotify:artist:2VBeBMU2ZBdmqnsBZ45CXE;Mattia Vlad Morleo
spotify:track:3LRYwBJECFeQGi16cPxEZY;Wasserklavier;spotify:artist:70xr7TopAcWrip0NJWDmOc;David Arden
spotify:track:1HE6aHCUtC6Mx0kiOsRUIS;wind whispers, Op. 85: II. floating leaf;spotify:artist:6KYa46jd4bu7OeKBpW4rFJ, spotify:artist:7uWSy5aRJy75BSKdpYbp2R;Konstantia Gourzi, William Youn
spotify:track:1d1FNmfO3dFlH8873yNFX3;5 Pieces for Violin and Piano: I. Elegia. Andante larghetto;spotify:artist:1bauOA5U5M3RwH2euX3Eq6, spotify:artist:44yqsYKtToaDXjtyMuVXCj;Valentin Silvestrov, Duo Gazzana
spotify:track:6HPnobfvxQk0J56gx1OgB3;Ave verum corpus, K.618 (Arr. for Piano by Franz Liszt);spotify:artist:4NJhFmfw43RLBLjQvxDuRS, spotify:artist:1jN4Xmeo6upsAer2hRZhrl;Wolfgang Amadeus Mozart, Mao Fujita
spotify:track:2JMWJkY1aQhNASkIuDUnI5;Kaiho;spotify:artist:5OdOZHljmANwGvN71E6KJm;A. Blomqvist
spotify:track:0YjaC9peYewdRxCTCNd3hX;"Theme - From ""American Beauty""";spotify:artist:1csBgT42N4pPPs1HJhxXIK, spotify:artist:1fUhTALoWXPL6PZSkKImY9;Thomas Newman, Daniil Trifonov
spotify:track:6Dc6V2K9nrwFfNcefx3XS3;Butterfly Lovers Violin Concerto: III. Adagio assai doloroso;spotify:artist:5UwRQg1yURCdW2YG1eqCt5, spotify:artist:2l7ORrnBVAgvUUe6yqkyrF, spotify:artist:0JwCInHbEPiiLqGj8cIr3j, spotify:artist:32sSC58wBNlSthfdC2t8Av, spotify:artist:0DWgEaDSiGWk91Utd0L0iv, spotify:artist:1i930Ret8nXybPLsidrklO;Chen Gang, He Zhanhao, Chloe Chua, Singapore Symphony Orchestra, Rodolfo Barráez, Ng Pei-Sian
spotify:track:6B0ZlLf0p2s1Lwt3ivAXKy;Still;spotify:artist:29lbSb4ujaVH5pHnQjFT0G;Ola Gjeilo
spotify:track:7EqkO7UDHveqXYzPrOZYei;Be My Home;spotify:artist:78XsqB0fsyDU7wR2w4zVuA;Eunike Tanzil
spotify:track:4iw9MPEmiVIxfnySIB0Ua6;Across the Ocean;spotify:artist:58R31AvN8JMHM7xkNpVLjX;Alexis Ffrench
spotify:track:1PINN6x0Riouab3wPSglpp;An Idea: An Idea;spotify:artist:4PdumqEAuo2EQzukVWnxa0, spotify:artist:6T9wLNtkKE8Z5GusLK6v9c;Leo Brouwer, Zsófia Boros
spotify:track:1BEgpDaPq9szOIxeMjmhAt;The Hours: An Unwelcome Friend (Arr. M. Riesman & N. Muhly for Solo Piano);spotify:artist:69lxxQvsfAIoQbB20bEPFC, spotify:artist:6EyYsJlQEb3uHINVS5EIsB;Philip Glass, Nicolas Horvath
spotify:track:3OFSj8l51YRq0he0845599;"Waltz No. 9 in A-Flat Major, Op. 69 No. 1 ""Farewell""";spotify:artist:7y97mc3bZRFXzT2szRM4L4, spotify:artist:3G5zQYaRH9y6ruE4QnoITP;Frédéric Chopin, Stephen Hough
spotify:track:1YHB1xwXPgCkuGjQ0prNdb;Morgen, Op. 27 No. 4 (Arr. Reger for Piano);spotify:artist:6pAwHPeExeUbMd5w7Iny6D, spotify:artist:3KtQFp8FUbQMx3bLNKCw3R;Richard Strauss, Angela Hewitt
spotify:track:782rqTD0wtue0vqytqoQxk;Bulgaria;spotify:artist:4yanWaefFUJnIUV0aITdvV, spotify:artist:6s2VkU5B3ll5cyPVelI13O, spotify:artist:05wR32yzOF9iIsXlmtiMRu, spotify:artist:30gg8sWAfaLRlvqC2bex4s, spotify:artist:5ArKJsYmYAb6T8Z2djzVyv, spotify:artist:6cMbi1smxNWFnchraYE6gF;Florian Christl, Clara Büsel, Leandro Hauxwell, Alona Khlevna, Gereon Theis, Vladislav Cojocaru
spotify:track:4vkqi5dSvHacpSjWXSGfCE;6 Piano Pieces, Op. 118: No. 2: Intermezzo in A Major;spotify:artist:5wTAi7QkpP6kp8a54lmTOq, spotify:artist:0japPUWMmW3gxqjSB1VEVL;Johannes Brahms, Igor Levit
spotify:track:14pcCEXXkbcpIM8e5zgOl1;Palestrina: Panis angelicus (Arr. Diluka for Piano);spotify:artist:0BS8IrFmvK1tXenMULjwem, spotify:artist:3QFnDCL9APB7hCVnSb0a73;Giovanni Pierluigi da Palestrina, Shani Diluka
spotify:track:5T7vBdg23LE9Nzn1YRVBEO;The Fabelmans;spotify:artist:3dRfiJ2650SZu6GbydcHNb, spotify:artist:0ikPH8Vl2teD0cHKXdCif3;John Williams, Simone Pedroni
spotify:track:15y6K1TTpceurenY3mnIcD;Respiro 3;spotify:artist:3JU9NLB27wyGhbwbApR9uy;Olivia Belli
spotify:track:73kFkK74uTO8fy8yBfMrTk;Carnaval, Op. 9: No. 5. Eusebius (Adagio - Più lento molto teneramente);spotify:artist:2UqjDAXnDxejEyE0CzfUrZ, spotify:artist:0fRrSOwkvXX4fixN9cdQu2;Robert Schumann, Emile Naoumoff
